121, 67, 34
120, 66, 34
121, 66, 34
119, 64, 32
121, 67, 34
122, 67, 35
122, 67, 33
122, 66, 33
120, 64, 32
120, 65, 34
121, 66, 34
121, 65, 33
122, 66, 33
119, 64, 33
120, 66, 33
121, 66, 34
120, 64, 32
121, 65, 33
120, 66, 34
119, 64, 33
119, 64, 33
119, 64, 33
126, 66, 35
120, 65, 34
121, 66, 35
87, 78, 37
87, 77, 37
88, 79, 38
88, 78, 38
89, 78, 38
90, 79, 38
87, 77, 37
89, 78, 37
40, 94, 40
36, 97, 40
36, 98, 40
34, 96, 40
36, 97, 40
48, 92, 42
49, 92, 42
148, 53, 30
137, 60, 33
118, 69, 39
69, 83, 40
95, 76, 39
95, 76, 38
